"Interval start","All Packets","Filtered packets"
0,326,0
1,523,0
2,474,1
3,330,0
4,312,0
5,781,0
6,349,0
7,327,0
8,367,0
9,560,3
10,432,1
11,309,0
12,358,0
13,785,1
14,292,0
15,538,1
16,393,3
17,446,1
18,837,6
19,282,0
20,428,1
21,685,0
22,518,1
23,684,0
24,952,0
25,775,0
26,1116,3
27,816,1
28,579,0
29,624,0
30,682,0
31,535,0
32,521,0
33,483,0
34,667,5
35,743,1
36,509,1
37,603,0
38,501,0
39,352,0
40,655,1
41,456,0
42,509,0
43,440,0
44,438,0
45,493,4
46,701,1
47,556,0
48,383,0
49,404,0
50,619,0
51,323,0
52,402,0
53,386,0
54,386,1
55,311,0
56,485,3
57,526,0
58,433,0
59,481,0
60,556,0
61,449,0
62,532,0
63,476,0
64,586,0
65,724,0
66,654,0
67,650,2
68,1040,2
69,506,0
70,615,0
71,646,2
72,428,0
73,567,0
74,510,1
75,558,0
76,559,6
77,716,6
78,540,0
79,808,2
80,247,0
81,503,0
82,419,1
83,427,0
84,370,0
85,365,0
86,403,0
87,332,0
88,474,0
89,347,0
90,401,0
91,278,0
92,452,0
93,285,0
94,389,0
95,323,0
96,644,1
97,265,0
98,421,0
99,324,0
100,484,0
101,489,0
102,336,0
103,330,0
104,578,0
105,336,1
106,490,1
107,411,0
108,740,0
109,529,0
110,363,0
111,442,0
112,974,0
113,267,0
114,528,3
115,450,0
116,474,0
117,524,0
118,326,0
119,331,0
120,389,0
121,512,0
122,336,0
123,469,1
124,379,1
125,491,0
126,325,1
127,294,0
128,338,0
129,465,0
130,390,1
131,341,0
132,325,0
133,575,0
134,548,0
135,317,0
136,354,0
137,562,0
138,311,0
139,277,0
140,341,0
141,491,0
142,315,0
143,339,0
144,338,0
145,837,0
146,412,1
147,619,0
148,599,0
149,1061,0
150,394,0
151,432,0
152,324,0
153,402,0
154,473,0
155,332,0
156,360,0
157,477,0
158,292,0
159,336,0
160,314,0
161,744,0
162,305,0
163,317,0
164,323,0
165,508,0
166,572,0
167,706,0
168,336,0
169,306,0
170,492,0
171,295,0
172,281,0
173,375,0
174,450,0
175,309,0
176,381,0
177,344,0
178,488,0
179,265,0
180,360,0
181,416,0
182,456,0
183,249,0
184,241,0
185,250,0
186,847,0
187,254,0
188,274,0
189,389,0
190,565,0
191,309,0
192,318,0
193,321,0
194,533,0
195,273,0
196,329,0
197,352,0
198,601,0
199,290,0
200,326,0
201,510,0
202,634,0
203,549,0
204,468,0
205,525,1
206,976,1
207,948,0
208,490,0
209,722,0
210,702,0
211,838,0
212,436,0
213,538,1
214,631,0
215,680,0
216,320,0
217,313,0
218,371,0
219,565,0
220,432,0
221,539,0
222,680,0
223,942,0
224,478,0
225,394,0
226,609,0
227,429,0
228,252,0
229,412,0
230,335,1
231,499,1
232,346,3
233,797,1
234,474,0
235,475,0
236,326,1
237,376,0
238,331,0
239,976,3
240,902,0
241,372,0
242,382,0
243,285,0
244,1261,4
245,501,0
246,380,0
247,353,1
248,553,0
249,393,1
250,453,2
251,592,0
252,408,1
253,498,0
254,410,0
255,658,0
256,368,5
257,161,0
258,4,0
259,3,0
260,28,0
261,5,0
262,77,0
263,4,0
264,1,0
265,102,0
266,6,0
267,2,0
268,21,0
269,238,4
270,591,0
271,266,0
272,402,0
273,407,0
274,508,0
275,325,0
276,457,1
277,610,0
278,510,0
279,365,0
280,355,0
281,443,2
282,524,4
283,254,0
284,638,0
285,334,0
286,614,0
287,436,0
288,303,0
289,424,3
290,191,2
291,407,4
292,177,0
293,370,0
294,424,1
295,659,0
296,307,0
297,471,0
298,297,0
299,453,0
300,501,1
301,26,0
