"Interval start","Filtered packets"
0,2
0.5,0
1,1
1.5,1
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,1
9.5,0
10,0
10.5,0
11,0
11.5,2
12,1
12.5,0
13,0
13.5,0
14,0
14.5,2
15,0
15.5,0
16,0
16.5,0
17,1
17.5,0
18,0
18.5,0
19,0
19.5,0
20,1
20.5,0
21,1
21.5,1
22,0
22.5,0
23,0
23.5,0
24,0
24.5,1
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
35.5,0
36,0
36.5,0
37,0
37.5,0
38,0
38.5,0
39,0
39.5,0
40,0
40.5,0
41,0
41.5,0
42,0
42.5,0
43,0
43.5,0
44,0
44.5,0
45,1
45.5,7
46,0
46.5,0
47,0
47.5,1
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,0
53.5,0
54,0
54.5,0
55,0
55.5,0
56,0
56.5,0
57,0
57.5,0
58,0
58.5,0
59,0
59.5,0
60,0
60.5,2
61,0
61.5,0
62,0
62.5,0
63,0
63.5,0
64,0
64.5,0
65,0
65.5,0
66,0
66.5,0
67,0
67.5,0
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,0
77.5,0
78,0
78.5,3
79,0
79.5,0
80,0
80.5,2
81,5
81.5,0
82,0
82.5,0
83,0
83.5,0
84,0
84.5,0
85,0
85.5,2
86,0
86.5,0
87,0
87.5,0
88,0
88.5,0
89,0
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0
92.5,1
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,1
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0
104.5,0
105,0
105.5,0
106,0
106.5,1
107,0
107.5,0
108,0
108.5,0
109,0
109.5,0
110,0
110.5,1
111,0
111.5,0
112,0
112.5,0
113,0
113.5,0
114,0
114.5,1
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,1
122.5,0
123,0
123.5,0
124,1
124.5,0
125,0
125.5,0
126,0
126.5,1
127,0
127.5,0
128,0
128.5,0
129,0
129.5,0
130,0
130.5,1
131,0
131.5,0
132,0
132.5,0
133,0
133.5,0
134,0
134.5,0
135,0
135.5,2
136,1
136.5,0
137,0
137.5,0
138,0
138.5,0
139,1
139.5,0
140,0
140.5,0
141,1
141.5,1
142,2
142.5,12
143,0
143.5,0
144,2
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,1
148,1
148.5,0
149,0
149.5,0
150,1
150.5,1
151,0
151.5,0
152,0
152.5,0
153,0
153.5,0
154,0
154.5,0
155,0
155.5,0
156,0
156.5,0
157,0
157.5,0
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,1
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,1
169.5,2
170,6
170.5,0
171,0
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,5
176,14
176.5,8
177,0
177.5,11
178,7
178.5,10
179,6
179.5,12
180,9
180.5,8
181,0
181.5,4
182,16
182.5,13
183,13
183.5,20
184,26
184.5,11
185,7
185.5,5
186,11
186.5,11
187,14
187.5,14
188,9
188.5,10
189,0
189.5,12
190,8
190.5,14
191,16
191.5,4
192,13
192.5,28
193,15
193.5,0
194,18
194.5,34
195,8
195.5,14
196,13
196.5,5
197,12
197.5,6
198,16
198.5,0
199,19
199.5,11
200,10
200.5,7
201,12
201.5,5
202,9
202.5,0
203,0
203.5,6
204,32
204.5,6
205,7
205.5,8
206,0
206.5,8
207,7
207.5,1
208,15
208.5,4
209,2
209.5,13
210,11
210.5,21
211,0
211.5,16
212,13
212.5,7
213,15
213.5,5
214,1
214.5,7
215,0
215.5,0
216,0
216.5,0
217,0
217.5,0
218,0
218.5,0
219,0
219.5,0
220,0
220.5,0
221,0
221.5,0
222,0
222.5,0
223,0
223.5,0
224,0
224.5,0
225,0
225.5,0
226,0
226.5,0
227,0
227.5,1
228,0
228.5,0
229,0
229.5,0
230,0
230.5,0
231,0
231.5,0
232,0
232.5,0
233,0
233.5,0
234,0
234.5,0
235,0
235.5,0
236,0
236.5,0
237,0
237.5,0
238,0
238.5,0
239,0
239.5,0
240,0
240.5,2
241,0
241.5,0
242,0
242.5,0
243,0
243.5,0
244,0
244.5,0
245,0
245.5,0
246,0
246.5,0
247,0
247.5,0
248,0
248.5,0
249,0
249.5,0
250,0
250.5,0
251,0
251.5,0
252,0
252.5,0
253,0
253.5,0
254,0
254.5,0
255,0
255.5,0
256,0
256.5,0
257,0
257.5,0
258,0
258.5,0
259,0
259.5,1
260,0
260.5,0
261,0
261.5,0
262,0
262.5,0
263,0
263.5,0
264,1
264.5,0
265,0
265.5,0
266,0
266.5,0
267,0
267.5,0
268,0
268.5,0
269,0
269.5,0
270,0
270.5,0
271,0
271.5,0
272,1
272.5,0
273,0
273.5,0
274,0
274.5,0
275,0
275.5,0
276,0
276.5,0
277,0
277.5,0
278,0
278.5,0
279,0
279.5,0
280,0
280.5,0
281,0
281.5,0
282,0
282.5,0
283,447
283.5,219
284,523
284.5,3
285,0
285.5,0
286,0
286.5,1
287,0
287.5,0
288,0
288.5,0
289,0
289.5,0
290,0
290.5,0
291,0
291.5,0
292,0
292.5,0
293,10
293.5,0
294,0
294.5,0
295,0
295.5,0
296,0
296.5,0
297,0
297.5,0
298,1
